,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
7107,India,Kanchipuram,59,Moderate,1,Good,28,Good,1,Good,59,Moderate
7108,India,Kankavli,89,Moderate,0,Good,21,Good,0,Good,89,Moderate
7109,India,Kanke,165,Unhealthy,1,Good,47,Good,0,Good,165,Unhealthy
7110,India,Karmala,112,Unhealthy(SG),0,Good,30,Good,0,Good,112,Unhealthy(SG)
7111,India,Kasganj,500,Hazardous,1,Good,61,Moderate,3,Good,476,Hazardous
7112,Japan,Kashiwazaki,40,Good,1,Good,40,Good,0,Good,30,Good
7113,Iran,Kazerun,71,Moderate,0,Good,50,Good,0,Good,71,Moderate
7114,Germany,Kehl,31,Good,1,Good,27,Good,2,Good,31,Good
7115,India,Kendrapara,165,Unhealthy,2,Good,45,Good,2,Good,165,Unhealthy
7116,USA,Kenmore,61,Moderate,2,Good,16,Good,15,Good,61,Moderate
7117,India,Khagaria,193,Unhealthy,4,Good,172,Unhealthy,1,Good,193,Unhealthy
7118,Philippines,Ramon,47,Good,1,Good,27,Good,0,Good,47,Good
7119,Brazil,Raul Soares,49,Good,1,Good,4,Good,3,Good,49,Good
7120,Israel,Reine,132,Unhealthy(SG),2,Good,44,Good,10,Good,132,Unhealthy(SG)
7121,Ukraine,Reni,41,Good,1,Good,41,Good,0,Good,30,Good
7122,Germany,Rheine,33,Good,1,Good,33,Good,2,Good,25,Good
7123,Brazil,Riachao Das Neves,13,Good,1,Good,6,Good,1,Good,13,Good
7124,Czechia,Ricany,33,Good,1,Good,28,Good,2,Good,33,Good
7125,Senegal,Richard Toll,150,Unhealthy,1,Good,24,Good,1,Good,150,Unhealthy
7126,Netherlands,Rijnsburg,40,Good,1,Good,27,Good,5,Good,40,Good
7127,USA,Ringwood,52,Moderate,1,Good,46,Good,3,Good,52,Moderate
7128,Brazil,Rio Branco Do Sul,60,Moderate,1,Good,13,Good,5,Good,60,Moderate
7129,Colombia,Riosucio,93,Moderate,3,Good,1,Good,5,Good,93,Moderate
7130,USA,Ripon,50,Good,1,Good,22,Good,10,Good,50,Good
7131,USA,River Ridge,75,Moderate,1,Good,19,Good,8,Good,75,Moderate
7132,Cuba,Rodas,87,Moderate,1,Good,18,Good,3,Good,87,Moderate
7133,India,Rohtak,500,Hazardous,1,Good,41,Good,1,Good,467,Hazardous
7134,Thailand,Phun Phin,34,Good,0,Good,18,Good,0,Good,34,Good
7135,Italy,Pineto,47,Good,1,Good,47,Good,1,Good,39,Good
7136,Philippines,Pio,70,Moderate,1,Good,23,Good,1,Good,70,Moderate
7137,Brazil,Piraju,30,Good,1,Good,16,Good,0,Good,30,Good
7138,Brazil,Pirassununga,65,Moderate,2,Good,2,Good,5,Good,65,Moderate
7139,Chile,Pitrufquen,60,Moderate,2,Good,2,Good,9,Good,60,Moderate
7140,Mexico,Poanas,72,Moderate,1,Good,21,Good,0,Good,72,Moderate
7141,USA,Pocatello,55,Moderate,2,Good,4,Good,7,Good,55,Moderate
7142,Italy,Poggiomarino,41,Good,1,Good,41,Good,2,Good,15,Good
7144,India,Porsa,189,Unhealthy,1,Good,46,Good,0,Good,189,Unhealthy
7145,South Africa,Port Alfred,50,Good,1,Good,29,Good,0,Good,50,Good
7146,Brazil,Porto Seguro,29,Good,1,Good,13,Good,1,Good,29,Good
7147,Russia,Povorino,61,Moderate,1,Good,38,Good,0,Good,61,Moderate
7148,Czechia,Prerov,36,Good,1,Good,30,Good,1,Good,36,Good
7149,Brazil,Presidente Epitacio,23,Good,0,Good,19,Good,0,Good,23,Good
7150,Ghana,Prestea,80,Moderate,1,Good,16,Good,0,Good,80,Moderate
7151,UK,Preston,65,Moderate,0,Good,32,Good,1,Good,65,Moderate
7152,Brazil,Princesa Isabel,24,Good,0,Good,12,Good,0,Good,24,Good
7153,Venezuela,Puerto Cabello,155,Unhealthy,4,Good,12,Good,11,Good,155,Unhealthy
7154,Colombia,Puerto Carreno,20,Good,1,Good,4,Good,1,Good,20,Good
7155,Spain,Puerto Lumbreras,32,Good,1,Good,32,Good,1,Good,28,Good
7156,India,Pujali,175,Unhealthy,3,Good,104,Unhealthy(SG),3,Good,175,Unhealthy
7157,Myanmar,Pyinmana,25,Good,0,Good,22,Good,0,Good,25,Good
7158,China,Qinnan,171,Unhealthy,3,Good,171,Unhealthy,3,Good,142,Unhealthy(SG)
7159,China,Qiongshan,64,Moderate,1,Good,35,Good,2,Good,64,Moderate
7160,India,Radhanpur,216,Very Unhealthy,0,Good,31,Good,0,Good,208,Very Unhealthy
7161,Bulgaria,Radnevo,38,Good,1,Good,38,Good,1,Good,34,Good
7162,South Africa,Pietersburg,56,Moderate,2,Good,32,Good,1,Good,56,Moderate
7163,China,Pingliang,75,Moderate,1,Good,75,Moderate,0,Good,69,Moderate
7164,Brazil,Piripiri,38,Good,1,Good,9,Good,1,Good,38,Good
7165,India,Piriyapatna,27,Good,0,Good,21,Good,0,Good,27,Good
7166,Russia,Pochinki,35,Good,1,Good,35,Good,0,Good,23,Good
7167,Montenegro,Podgorica,68,Moderate,1,Good,30,Good,1,Good,68,Moderate
7168,Serbia,Podujevo,46,Good,1,Good,37,Good,0,Good,46,Good
7169,Ukraine,Polonne,36,Good,1,Good,36,Good,1,Good,24,Good
7170,Russia,Poltavskaya,38,Good,1,Good,38,Good,1,Good,9,Good
7171,Poland,Poniatowa,87,Moderate,1,Good,35,Good,2,Good,87,Moderate
7173,Brazil,Porto Belo,92,Moderate,2,Good,16,Good,4,Good,92,Moderate
7174,Brazil,Porto Calvo,25,Good,0,Good,20,Good,0,Good,25,Good
7175,Brazil,Porto Franco,46,Good,1,Good,5,Good,1,Good,46,Good
7176,Italy,Porto Recanati,50,Good,2,Good,38,Good,7,Good,50,Good
7177,Spain,Portugalete,41,Good,1,Good,41,Good,1,Good,17,Good
7178,Canada,Prince Albert,34,Good,1,Good,34,Good,0,Good,9,Good
7179,Russia,Privolzhskiy,64,Moderate,1,Good,36,Good,1,Good,64,Moderate
7180,Russia,Pudozh,52,Moderate,1,Good,29,Good,0,Good,52,Moderate
7181,Indonesia,Purworejo,92,Moderate,2,Good,42,Good,2,Good,92,Moderate
7182,India,Puttur,67,Moderate,0,Good,27,Good,0,Good,67,Moderate
7183,UK,Radcliffe,62,Moderate,1,Good,15,Good,12,Good,62,Moderate
7184,Israel,Ramat Hasharon,69,Moderate,1,Good,48,Good,5,Good,69,Moderate
7185,USA,Bryan,124,Unhealthy(SG),1,Good,19,Good,2,Good,124,Unhealthy(SG)
7186,Russia,Buguruslan,50,Good,1,Good,31,Good,0,Good,50,Good
7187,Albania,Bulqize,65,Moderate,1,Good,42,Good,0,Good,65,Moderate
7188,Indonesia,Bumiayu,73,Moderate,1,Good,37,Good,1,Good,73,Moderate
7189,Democratic Republic of the Congo,Businga,49,Good,3,Good,10,Good,0,Good,49,Good
7190,Brazil,Caconde,50,Good,1,Good,10,Good,2,Good,50,Good
7191,Brazil,Caiaponia,22,Good,1,Good,7,Good,1,Good,22,Good
7192,Italy,Caldogno,62,Moderate,2,Good,32,Good,8,Good,62,Moderate
